feature,mean_abs_shap
meter_lag_1h,0.16110894
meter_mean_24h,0.035262555
meter_mean_168h,0.01296398
meter_min_24h,0.0070145424
meter_lag_24h,0.004653395
hour_cos,0.0033465324
month_sin,0.0023857022
log_sqft,0.0016993419
meter_std_24h,0.001448119
meter_std_168h,0.0012859467
hour_sin,0.001103923
meter_last_week,0.00092813285
building_age,0.0006082977
primary_use_Parking,0.0003399569
primary_use_Entertainment/public assembly,0.00033846722
month_cos,0.00031968454
meter_min_168h,0.00028721272
wind_speed_mean_168h,0.00026016546
air_temperature,0.00016120706
building_id,0.00015382316
air_temperature_lag24h,0.00015119801
weekday,0.00014403381
primary_use_Education,9.294632e-05
air_temperature_mean_168h,7.5124255e-05
dew_temperature_lag24h,7.444758e-05
cloud_coverage,6.618061e-05
air_temperature_lag1h,5.645604e-05
cloud_coverage_lag1h,5.5616038e-05
air_temperature_mean_24h,5.52786e-05
wind_direction,5.4535816e-05
precip_depth_1_hr_mean_24h,5.1526207e-05
sea_level_pressure_mean_24h,4.8674086e-05
cloud_coverage_mean_168h,4.3093896e-05
wind_speed_lag24h,3.7888676e-05
precip_depth_1_hr_mean_168h,3.1873697e-05
dew_temperature_lag1h,3.0598567e-05
wind_direction_lag24h,2.930392e-05
dew_temperature,2.586853e-05
wind_direction_mean_24h,2.2731045e-05
precip_depth_1_hr_lag24h,2.172601e-05
wind_direction_mean_168h,2.0281343e-05
wind_speed_lag1h,1.9608777e-05
cloud_coverage_lag24h,1.6938504e-05
cloud_coverage_mean_24h,1.4866414e-05
dew_temperature_mean_168h,1.4802853e-05
wind_direction_lag1h,1.36843255e-05
primary_use_Office,1.2178154e-05
sea_level_pressure_lag1h,1.1790337e-05
sea_level_pressure_lag24h,1.1547997e-05
primary_use_Other,1.1523344e-05
dew_temperature_mean_24h,1.0471512e-05
sea_level_pressure_mean_168h,8.824819e-06
is_weekend,6.604392e-06
primary_use_Retail,6.279229e-06
wind_speed_mean_24h,5.381234e-06
sea_level_pressure,2.8555132e-06
precip_depth_1_hr_lag1h,0.0
precip_depth_1_hr,0.0
wind_speed,0.0
primary_use_Lodging/residential,0.0
spike_flag,0.0
